Year,"Total Area Sown (""Thousand"") Hect.",Area (Thousand) Hect.,Production (Thousand) Tons.,Index of Area Sown (Base year 2010-11),Index of Production (Base year 2010-11),% Share of Area Sown
2010-11,9065.6,19041.0,100.0,100.0,73.8,
2011-12,8764.1,17739.0,96.9,93.2,74.0,
2012-13,8910.2,18587.0,97.3,97.6,73.1,
2013-14,9142.1,19738.9,103.1,103.7,75.5,
2014-15,9226.5,19281.9,104.3,101.3,75.6,
2015-16,9204.8,19526.7,103.3,102.6,75.1,
2016-17,8964.3,20466.3,99.5,107.5,74.3,
2017-18,9005.8,19178.6,98.0,100.7,72.8,
2018-19,8975.6,18377.2,97.1,96.5,72.4,
2019-20,9738.4,19402.0,97.4,101.9,66.9,
2020-21,9823.5,20900.0,100.8,109.8,68.7,
